dataset_source,category_id,category_name,length_cm,width_cm,height_cm,typical_len_cm,min_len_cm,max_len_cm,source_reference,image_path
ABO Dataset,B07TLF96YR,AmazonBasics UV Reflecting Foldable Front Windshield Sun Sha,160.02,80.01,0.0,160.02,156.82,163.22,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f1/f126b88b.jpg
ABO Dataset,B00D2VUOSM,Classic Accessories 55-147-015101-EC Ravenna Water-Resistant,0.05,132.08,0.05,132.08,129.44,134.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e3/e376944d.jpg
ABO Dataset,B07B515FRG,"Amazon Brand – Stone & Beam Prudence Tufted King Bed, 84""W,",213.36,233.68,142.24,233.68,229.01,238.35,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ab/ab89c58c.jpg
ABO Dataset,B074KR2FG8,AmazonBasics Fast Peel Address Labels for Laser/Inkjet Print,21.59,27.94,0.0,27.94,27.38,28.5,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/0d/0dcb0717.jpg
ABO Dataset,B003MAJHB8,AmazonBasics Coax Extension Cable (Black) (25 Feet/7.62 Mete,7.62,0.01,0.12,7.62,7.47,7.77,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/02/020b6b44.jpg
ABO Dataset,B07TNLM4J2,AmazonBasics UV Reflecting Foldable Front Windshield Sun Sha,144.78,66.04,0.2,144.78,141.88,147.68,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/0d/0dc4d2ee.jpg
ABO Dataset,B07CPXVXK1,AmazonBasics 3.5mm Male to Female Stereo Audio Extension Ada,182.88,0.99,0.99,182.88,179.22,186.54,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/6e/6e95a696.jpg
ABO Dataset,B06ZYZ4MZS,"365 Everyday Value, Magnesium Lemon Fizz, 8 oz",9.27,9.27,9.27,9.27,9.08,9.46,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/95/952040c1.jpg
ABO Dataset,B07TNLMMD4,AmazonBasics UV Reflecting Foldable Front Windshield Sun Sha,149.99,70.0,0.0,149.99,146.99,152.99,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f1/f126b88b.jpg
ABO Dataset,B07374M9ZW,Amazon Brand – Rivet Mid-Century Modern Rose Gold Dome Ceili,30.48,30.48,76.2,76.2,74.68,77.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/fa/fa3eacdd.jpg
ABO Dataset,B07SF5FBNZ,"AmazonBasics Embossed Beverage Napkin, 2-Ply, 1/4 Fold, 9.5""",25.4,25.4,0.01,25.4,24.89,25.91,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/0c/0caf06c8.jpg
ABO Dataset,B07LF7CS8M,"AmazonBasics 4:3 Portable Projector Screen - 100 Inch, White",220.4,7.01,219.41,220.4,215.99,224.81,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f9/f9a4dc4d.jpg
ABO Dataset,B07SG68M1N,AmazonBasics Heavy Duty Metal Surge Protector Power Strip wi,120.65,3.81,3.48,120.65,118.24,123.06,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/34/34758be1.jpg
ABO Dataset,B01CXY42QI,IGI Certified 14k Yellow Gold Lab Grown Solitaire Pendant Ne,45.72,1.02,0.51,45.72,44.81,46.63,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/65/65b4ea1d.jpg
ABO Dataset,B00XNMWU78,AmazonBasics UV Protection Lens Filter - 58 mm,5.99,5.99,0.71,5.99,5.87,6.11,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/6c/6c9c7d16.jpg
ABO Dataset,B07TZCBKCL,(Renewed) AmazonBasics 13.3-inch Laptop Sleeve (Purple),34.29,24.38,2.03,34.29,33.6,34.98,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f0/f029bb89.jpg
ABO Dataset,B07D58TLCG,UMI. by Amazon - Resistance Band Set Stretch Bands Exercise,200.0,15.0,0.04,200.0,196.0,204.0,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/d3/d378b600.jpg
